chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,email,phone,lat,lon,snapshot_date
a0M6g00000BqQzR,Saginaw Valley State University,Primary Zone,Region 4,,Chapter,University Center,Michigan,United States,fjmugasa@svsu.edu,989  4842653,43.51838723398918,-84.57888009217356,2026-06-19
a0M6g00000BqQzU,Penn State University,,,,Chapter,University Park,Pennsylvania,United States,hle2@psu.edu,814  8631080,40.84177054393797,-77.07159737965844,2026-06-19
a0M6g00000BqQzV,UCLA School of Engineering,,,,Company,Los Angeles,California,United States,carol@ea.ucla.edu,310  2066493,35.832127143521355,-119.34862835385427,2026-06-19
a0M6g00000BqQzW,University of Wisoconsin-Platteville,Primary Zone,Region 4,,Chapter,Platteville,Wisconsin,United States,adamskar@uwplatt.edu,800  3625460,44.45134079139325,-89.41626298630612,2026-06-19
a0M6g00000BqQzY,U.S. Coast Guard Academy Admissions,New England Zone,Region 1,,Chapter,New London,Connecticut,United States,timothy.g.frazier@uscga.edu,860  2341480,41.33746154287289,-72.7901008434731,2026-06-19
a0M6g00000BqQzZ,Suny Buffalo Step-Pci,Upstate Zone,Region 1,,Chapter,Buffalo,New York,United States,ubstep@gmail.com,716  829-2004,42.075284616962804,-74.64931550780598,2026-06-19
a0M6g00000BqQza,Not The College Of New Jersey Collegiate Chapter,Primary Zone,Region 1,,Chapter,Ewing,New Jersey,United States,notapplicable@gmail.com,000  0000000,40.39960958405646,-74.29507787071041,2026-06-19
a0M6g00000BqQzb,New Mexico Tech,,Region 6,,Chapter,Socorro,New Mexico,United States,nsbe@nmt.edu,575  835-5513,34.800904939179134,-106.43941489475066,2026-06-19
a0M6g00000BqQzc,Georgia Tech Research Institute,Primary Zone,Region 3,,Chapter,Atlanta,Georgia,United States,heather.gardenhire@gtri.gatech.edu,(770) 402-6833,33.07882835091108,-83.94840192072708,2026-06-19
a0M6g00000BqQzd,Fisk University,Primary Zone,Region 3,,Chapter,Nashville,Tennessee,United States,shussain@fisk.edu,202  830-7072,35.977186820394806,-86.60017992061455,2026-06-19
a0M6g00000BqQzh,Brown University,New England Zone,Region 1,,Chapter,PROVIDENCE,Rhode Island,United States,president.brown.nsbe@gmail.com,000  000000,41.86155441805976,-71.6136118223091,2026-06-19
a0M6g00000BqQzm,Manhattan College,Metro/LI Zone,Region 1,,Chapter,RIVERDALE,New York,United States,nsbe@manhattan.edu,000  000000,42.495214617076435,-74.67286621507446,2026-06-19
a0M6g00000BqQzt,State University Of New York-Buffalo,Upstate Zone,Region 1,,Chapter,BUFFALO,New York,United States,ub.nsbe.buffalo@gmail.com,(716)-645-2950,42.360594447951634,-75.16180390450363,2026-06-19
a0M6g00000BqQzv,Stony Brook University,Upstate Zone,Region 1,,Chapter,Stony Brook,New York,United States,sbu.nsbe@gmail.com,646  6713558,42.14243070260893,-75.26738836394895,2026-06-19
a0M6g00000BqR02,New York Institute Of Technology- Manhattan,Metro/LI Zone,Region 1,,Chapter,New York,New York,United States,nsbema@nyit.edu,000  000000,41.92372864444728,-74.81991673273029,2026-06-19
a0M6g00000BqR03,New York Institute Of Technology-Old Westbury,Metro/LI Zone,Region 1,,Chapter,OLD WESTBURY,New York,United States,nsbeow@nyit.edu,(516) 686-7721,42.33705950913547,-74.62079418729606,2026-06-19
a0M6g00000BqR06,Cooper Union,Metro/LI Zone,Region 1,,Chapter,New York,New York,United States,nsbe@cooper.edu,(212) 353-4100,42.0438037506967,-75.0387292057756,2026-06-19
